date,name,rate
2024-01-28 00:00:00+00,FLOKI,34297.8730983985
2024-01-28 00:00:00+00,JASMY,190.65776930409913
2024-01-28 00:00:00+00,SHP,0.7870545834978147
2024-01-28 00:00:00+00,INDEX,0.2430133657351154
2024-01-28 00:00:00+00,BGB,1.6937814941538794
2024-01-28 00:00:00+00,TJS,10.905864
2024-01-28 00:00:00+00,AED,3.6729766666666666
2024-01-28 00:00:00+00,FIDA,3.667033370003667
2024-01-28 00:00:00+00,SAND,2.1985269869187642
2024-01-28 00:00:00+00,DKK,6.867483329854835
2024-01-28 00:00:00+00,WCFG,2.0100502512562812
2024-01-28 00:00:00+00,ZWD,377.4
2024-01-28 00:00:00+00,OCEAN,2.270663033605813
2024-01-28 00:00:00+00,BGN,1.80174
2024-01-28 00:00:00+00,UMA,0.192845434384341
2024-01-28 00:00:00+00,FOX,31.39717425431711
2024-01-28 00:00:00+00,ZWL,9659.37
2024-01-28 00:00:00+00,TUSD,1.0113513212984617
2024-01-28 00:00:00+00,HTG,131.60805344907703
2024-01-28 00:00:00+00,RGT,2.634060446793456
2024-01-28 00:00:00+00,BHD,0.3769175
2024-01-28 00:00:00+00,ENJ,3.257328990228013
2024-01-28 00:00:00+00,OAS,9.659556230371223
2024-01-28 00:00:00+00,TKX,0.07165401492309732
2024-01-28 00:00:00+00,COVAL,98.76543209876543
2024-01-28 00:00:00+00,CGLD,1.4880952380952381
2024-01-28 00:00:00+00,KZT,450.5684626666667
2024-01-28 00:00:00+00,YFII,0.0004614313450815
2024-01-28 00:00:00+00,DIMO,1.9290681636235616
2024-01-28 00:00:00+00,GRT,6.251953735542357
2024-01-28 00:00:00+00,HBTC,0.000019194572995935587
2024-01-28 00:00:00+00,AFN,72.9573
2024-01-28 00:00:00+00,TFUEL,23.14065942839831
2024-01-28 00:00:00+00,ENS,0.0509035377958768
2024-01-28 00:00:00+00,UNI,0.1670704201821068
2024-01-28 00:00:00+00,FX,6.889424733034792
2024-01-28 00:00:00+00,HUF,356.73496292766197
2024-01-28 00:00:00+00,LUNC,9929.186824080356
2024-01-28 00:00:00+00,BIF,2859.335839
2024-01-28 00:00:00+00,XTZ,0.9965122072745392
2024-01-28 00:00:00+00,LUNA,1.5318513821470714
2024-01-28 00:00:00+00,AURORA,4.0241448692152915
2024-01-28 00:00:00+00,EOS,1.4091453533431975
2024-01-28 00:00:00+00,GST,79.50389569088885
2024-01-28 00:00:00+00,FORT,7.898894154818326
